Model,Full features - Accuracy,Full features - Precision,Full features - Recall,Full features - F1,PCA - Accuracy,PCA - Precision,PCA - Recall,PCA - F1,SelectKBest-RFE - Accuracy,SelectKBest-RFE - Precision,SelectKBest-RFE - Recall,SelectKBest-RFE - F1
LogisticRegression,0.6111,0.2667,0.1143,0.16,0.6111,0.2667,0.1143,0.16,0.6111,0.2667,0.1143,0.16
DecisionTree,0.6296,0.4138,0.3429,0.375,0.5833,0.3611,0.3714,0.3662,0.6574,0.4667,0.4,0.4308
RandomForest,0.6944,0.5417,0.3714,0.4407,0.6389,0.4167,0.2857,0.339,0.6574,0.4643,0.3714,0.4127
SVM,0.6019,0.25,0.1143,0.1569,0.6019,0.25,0.1143,0.1569,0.6111,0.2667,0.1143,0.16
KNN,0.6852,0.5333,0.2286,0.32,0.6852,0.5333,0.2286,0.32,0.6204,0.3636,0.2286,0.2807
NaiveBayes,0.5833,0.2222,0.1143,0.1509,0.5741,0.2105,0.1143,0.1481,0.6111,0.2667,0.1143,0.16
XGBoost,0.7407,0.6296,0.4857,0.5484,0.6111,0.3793,0.3143,0.3438,0.6296,0.4074,0.3143,0.3548
